UPDATE SingleCodeCoupon;couponId[unique=true];endDate[dateformat=dd-MM-yyyy HH:mm:ss];maxRedemptionsPerCustomer;active[default=true]
; ERICAGL ;03-06-2020 23:59:59;10;true
; ERIKAM ;03-06-2020 23:59:59;10;true
; ESTHERMO ;03-06-2020 23:59:59;10;true
; FRANKMO ;03-06-2020 23:59:59;10;true
; FRANTSP ;03-06-2020 23:59:59;10;true
; GABIFS ;03-06-2020 23:59:59;10;true
; IGORFC ;03-06-2020 23:59:59;10;true
; INNGREDMO ;03-06-2020 23:59:59;10;true
; JANELP ;03-06-2020 23:59:59;10;true
; JECS ;03-06-2020 23:59:59;10;true
; JOYCEOF ;03-06-2020 23:59:59;10;true
; JUANMO ;03-06-2020 23:59:59;10;true
; JULIANALB ;03-06-2020 23:59:59;10;true
; JULIANAMS ;03-06-2020 23:59:59;10;true
; KAYANFC ;03-06-2020 23:59:59;10;true
; KEVINOF ;03-06-2020 23:59:59;10;true
; LAIKS ;03-06-2020 23:59:59;10;true
; LAYARALB ;03-06-2020 23:59:59;10;true
; LILIDS ;03-06-2020 23:59:59;10;true
; MAISIM ;03-06-2020 23:59:59;10;true
; MATEUSJK ;03-06-2020 23:59:59;10;true
; NATG ;03-06-2020 23:59:59;10;true
; NATGS ;03-06-2020 23:59:59;10;true
; NICOLYV ;03-06-2020 23:59:59;10;true
; PAULOFC ;03-06-2020 23:59:59;10;true
; STEMS ;03-06-2020 23:59:59;10;true
; SUML ;03-06-2020 23:59:59;10;true
; TAISEOF ;03-06-2020 23:59:59;10;true
; VALERIAHIGI ;03-06-2020 23:59:59;10;true
; VANCGS ;03-06-2020 23:59:59;10;true
; VICN ;03-06-2020 23:59:59;10;true
; VIVIMS ;03-06-2020 23:59:59;10;true
; RODRIGOCJ ;03-06-2020 23:59:59;10;true
; RUTECJ ;03-06-2020 23:59:59;10;true
; SABRINAHIGI ;03-06-2020 23:59:59;10;true
; SARAS ;03-06-2020 23:59:59;10;true
; WAIZHIGI ;03-06-2020 23:59:59;10;true
; YARIMAOF ;03-06-2020 23:59:59;10;true
; YNGRIDLB ;03-06-2020 23:59:59;10;true
; NATHIGT ;03-06-2020 23:59:59;10;true
; KATIGT ;03-06-2020 23:59:59;10;true
; INGRIDIGT ;03-06-2020 23:59:59;10;true
; VANIGT ;03-06-2020 23:59:59;10;true
; FRANIGT ;03-06-2020 23:59:59;10;true
; ANGELIGT ;03-06-2020 23:59:59;10;true
; THAYNAIGT ;03-06-2020 23:59:59;10;true
; KEYLLAIGT ;03-06-2020 23:59:59;10;true
; DANICJ ;03-06-2020 23:59:59;10;true
; CLAUDIACJ ;03-06-2020 23:59:59;10;true
; CARLOSCJ ;03-06-2020 23:59:59;10;true
; LAIANECJ ;03-06-2020 23:59:59;10;true
; THAISJK ;03-06-2020 23:59:59;10;true
; NATIJK ;03-06-2020 23:59:59;10;true
; JOJK ;03-06-2020 23:59:59;10;true
; CIBELLECJ ;03-06-2020 23:59:59;10;true
; ADRIJK ;03-06-2020 23:59:59;10;true
; LUANAJK ;03-06-2020 23:59:59;10;true
; ANNALB ;03-06-2020 23:59:59;10;true
; PRIMLB ;03-06-2020 23:59:59;10;true
; PRITLB ;03-06-2020 23:59:59;10;true
; SIBELELB ;03-06-2020 23:59:59;10;true
; CLAUDIALB ;03-06-2020 23:59:59;10;true
; KARENLB ;03-06-2020 23:59:59;10;true
; MARIBSB ;03-06-2020 23:59:59;10;true
; DAIBSB ;03-06-2020 23:59:59;10;true
; GABIBSB ;03-06-2020 23:59:59;10;true
; ARLEIDEBSB ;03-06-2020 23:59:59;10;true
; RAFABSB ;03-06-2020 23:59:59;10;true
; LIGIACTB ;03-06-2020 23:59:59;10;true
; ANDERCTB ;03-06-2020 23:59:59;10;true
; JOAOCTB ;03-06-2020 23:59:59;10;true
; BACTB ;03-06-2020 23:59:59;10;true
; MATCTB ;03-06-2020 23:59:59;10;true
