UPDATE SingleCodeCoupon;couponId[unique=true];endDate[dateformat=dd-MM-yyyy HH:mm:ss];maxRedemptionsPerCustomer;active[default=true]
;EUTUVNSPRIV ;03-06-2020 23:59:59;10;true
;HMVNSPRIV;03-06-2020 23:59:59;10;true
;IBIRA567;03-06-2020 23:59:59;10;true
;JOAQUINAVNSPRIV;03-06-2020 23:59:59;10;true
;ITU113;03-06-2020 23:59:59;10;true
;MACHVNSPRIV;03-06-2020 23:59:59;10;true
;KIMVNSPRIV;03-06-2020 23:59:59;10;true
;MRB892;03-06-2020 23:59:59;10;true
;MANDALAVNSPRIV;03-06-2020 23:59:59;10;true
;SUMVNSPRIV;03-06-2020 23:59:59;10;true
;TEO982;03-06-2020 23:59:59;10;true
;TOWNVNSPRIV;03-06-2020 23:59:59;10;true
