UPDATE SingleCodeCoupon;couponId[unique=true];endDate[dateformat=dd-MM-yyyy HH:mm:ss];maxRedemptionsPerCustomer;active[default=true]
; EM1000042-1 ;03-06-2020 23:59:59;10;true
; EM1000042-2 ;03-06-2020 23:59:59;10;true
; EM1000042-3 ;03-06-2020 23:59:59;10;true
; EM1000042-4 ;03-06-2020 23:59:59;10;true
; EM1000042-5 ;03-06-2020 23:59:59;10;true
; EM1000043-1 ;03-06-2020 23:59:59;10;true
; EM1000043-2 ;03-06-2020 23:59:59;10;true
; EM1000043-3 ;03-06-2020 23:59:59;10;true
; EM1000043-4 ;03-06-2020 23:59:59;10;true
; EM1000043-5 ;03-06-2020 23:59:59;10;true
; EM1000044-1 ;03-06-2020 23:59:59;10;true
; EM1000044-2 ;03-06-2020 23:59:59;10;true
; EM1000044-3 ;03-06-2020 23:59:59;10;true
; EM1000044-4 ;03-06-2020 23:59:59;10;true
; EM1000044-5 ;03-06-2020 23:59:59;10;true
; EM1000045-1 ;03-06-2020 23:59:59;10;true
; EM1000045-2 ;03-06-2020 23:59:59;10;true
; EM1000045-3 ;03-06-2020 23:59:59;10;true
; EM1000045-4 ;03-06-2020 23:59:59;10;true
; EM1000045-5 ;03-06-2020 23:59:59;10;true
; EM1000046-1 ;03-06-2020 23:59:59;10;true
; EM1000046-2 ;03-06-2020 23:59:59;10;true
; EM1000046-3 ;03-06-2020 23:59:59;10;true
; EM1000046-4 ;03-06-2020 23:59:59;10;true
; EM1000046-5 ;03-06-2020 23:59:59;10;true
; EM1000048-1 ;03-06-2020 23:59:59;10;true
; EM1000048-2 ;03-06-2020 23:59:59;10;true
; EM1000048-3 ;03-06-2020 23:59:59;10;true
; EM1000048-4 ;03-06-2020 23:59:59;10;true
; EM1000048-5 ;03-06-2020 23:59:59;10;true
; EM1000049-1 ;03-06-2020 23:59:59;10;true
; EM1000049-2 ;03-06-2020 23:59:59;10;true
; EM1000049-3 ;03-06-2020 23:59:59;10;true
; EM1000049-4 ;03-06-2020 23:59:59;10;true
; EM1000049-5 ;03-06-2020 23:59:59;10;true
; EM1000055-1 ;03-06-2020 23:59:59;10;true
; EM1000055-2 ;03-06-2020 23:59:59;10;true
; EM1000055-3 ;03-06-2020 23:59:59;10;true
; EM1000055-4 ;03-06-2020 23:59:59;10;true
; EM1000055-5 ;03-06-2020 23:59:59;10;true
; EM1000065-1 ;03-06-2020 23:59:59;10;true
; EM1000065-2 ;03-06-2020 23:59:59;10;true
; EM1000065-3 ;03-06-2020 23:59:59;10;true
; EM1000065-4 ;03-06-2020 23:59:59;10;true
; EM1000065-5 ;03-06-2020 23:59:59;10;true
; EM10004-1 ;03-06-2020 23:59:59;10;true
; EM10004-2 ;03-06-2020 23:59:59;10;true
; EM10004-3 ;03-06-2020 23:59:59;10;true
; EM10004-4 ;03-06-2020 23:59:59;10;true
; EM10004-5 ;03-06-2020 23:59:59;10;true
; EM100118-1 ;03-06-2020 23:59:59;10;true
; EM100118-2 ;03-06-2020 23:59:59;10;true
; EM100118-3 ;03-06-2020 23:59:59;10;true
; EM100118-4 ;03-06-2020 23:59:59;10;true
; EM100118-5 ;03-06-2020 23:59:59;10;true
; EM10016-1 ;03-06-2020 23:59:59;10;true
; EM10016-2 ;03-06-2020 23:59:59;10;true
; EM10016-3 ;03-06-2020 23:59:59;10;true
; EM10016-4 ;03-06-2020 23:59:59;10;true
; EM10016-5 ;03-06-2020 23:59:59;10;true
; EM10033-1 ;03-06-2020 23:59:59;10;true
; EM10033-2 ;03-06-2020 23:59:59;10;true
; EM10033-3 ;03-06-2020 23:59:59;10;true
