UPDATE SingleCodeCoupon;couponId[unique=true];endDate[dateformat=dd-MM-yyyy HH:mm:ss];maxRedemptionsPerCustomer;active[default=true]
; ANA0001 ;03-06-2020 23:59:59;10;true
; ANA0002 ;03-06-2020 23:59:59;10;true
; ANA0004 ;03-06-2020 23:59:59;10;true
; ANA0006 ;03-06-2020 23:59:59;10;true
; ANA0008 ;03-06-2020 23:59:59;10;true
; ANA0009 ;03-06-2020 23:59:59;10;true
; ANA0010 ;03-06-2020 23:59:59;10;true
; ANA0011 ;03-06-2020 23:59:59;10;true
; ANA0013 ;03-06-2020 23:59:59;10;true
; ANA0039 ;03-06-2020 23:59:59;10;true
; ANA0040 ;03-06-2020 23:59:59;10;true
; ANA0041 ;03-06-2020 23:59:59;10;true
; ANA0042 ;03-06-2020 23:59:59;10;true
; ANA0043 ;03-06-2020 23:59:59;10;true
; ANA0044 ;03-06-2020 23:59:59;10;true
; ANA0045 ;03-06-2020 23:59:59;10;true
; ANA0046 ;03-06-2020 23:59:59;10;true
; ANA0047 ;03-06-2020 23:59:59;10;true
; ANA0048 ;03-06-2020 23:59:59;10;true
; ANA0049 ;03-06-2020 23:59:59;10;true
; ANA0050 ;03-06-2020 23:59:59;10;true
; ANA0051 ;03-06-2020 23:59:59;10;true
; ANA0052 ;03-06-2020 23:59:59;10;true
; ANA0053 ;03-06-2020 23:59:59;10;true
; ANA0067 ;03-06-2020 23:59:59;10;true
; ANA0068 ;03-06-2020 23:59:59;10;true
; ANA0069 ;03-06-2020 23:59:59;10;true
; ANA0070 ;03-06-2020 23:59:59;10;true
; ANA0071 ;03-06-2020 23:59:59;10;true
; ANA0072 ;03-06-2020 23:59:59;10;true
; ANA0073 ;03-06-2020 23:59:59;10;true
; ANA0074 ;03-06-2020 23:59:59;10;true
; ANA0075 ;03-06-2020 23:59:59;10;true
; ANA0076 ;03-06-2020 23:59:59;10;true
; ANA0077 ;03-06-2020 23:59:59;10;true
; ANA0078 ;03-06-2020 23:59:59;10;true
; ANA0079 ;03-06-2020 23:59:59;10;true
; ANA0080 ;03-06-2020 23:59:59;10;true
; ANA0081 ;03-06-2020 23:59:59;10;true
; ANA0082 ;03-06-2020 23:59:59;10;true
; ANA0083 ;03-06-2020 23:59:59;10;true
; ANA0084 ;03-06-2020 23:59:59;10;true
; ANA0085 ;03-06-2020 23:59:59;10;true
; ANA0086 ;03-06-2020 23:59:59;10;true
; ANA0087 ;03-06-2020 23:59:59;10;true
; ANA0088 ;03-06-2020 23:59:59;10;true
; ANA0089 ;03-06-2020 23:59:59;10;true
; ANA0090 ;03-06-2020 23:59:59;10;true
; ANA0091 ;03-06-2020 23:59:59;10;true
; ANA0092 ;03-06-2020 23:59:59;10;true
; ANA0093 ;03-06-2020 23:59:59;10;true
; ANA0094 ;03-06-2020 23:59:59;10;true
; ANA0095 ;03-06-2020 23:59:59;10;true
; ANA0096 ;03-06-2020 23:59:59;10;true
; ANA0097 ;03-06-2020 23:59:59;10;true
; ANA0098 ;03-06-2020 23:59:59;10;true
; ANA0099 ;03-06-2020 23:59:59;10;true
; ANA0100 ;03-06-2020 23:59:59;10;true
; ANA0101 ;03-06-2020 23:59:59;10;true
; ANA0102 ;03-06-2020 23:59:59;10;true
; ANA0103 ;03-06-2020 23:59:59;10;true
; ANA0104 ;03-06-2020 23:59:59;10;true
; ANA0105 ;03-06-2020 23:59:59;10;true
; ANA0106 ;03-06-2020 23:59:59;10;true
; ANA0107 ;03-06-2020 23:59:59;10;true
; ANA0108 ;03-06-2020 23:59:59;10;true
; ANA0109 ;03-06-2020 23:59:59;10;true
; ANA0110 ;03-06-2020 23:59:59;10;true
; ANA0111 ;03-06-2020 23:59:59;10;true
; ANA0112 ;03-06-2020 23:59:59;10;true
; ANA0113 ;03-06-2020 23:59:59;10;true
; ANA0114 ;03-06-2020 23:59:59;10;true
; ANA0115 ;03-06-2020 23:59:59;10;true
; ANA0116 ;03-06-2020 23:59:59;10;true
; ANA0117 ;03-06-2020 23:59:59;10;true
; ANA0118 ;03-06-2020 23:59:59;10;true
; ANA0119 ;03-06-2020 23:59:59;10;true
; ANA0120 ;03-06-2020 23:59:59;10;true
; ANA0121 ;03-06-2020 23:59:59;10;true
; ANA0122 ;03-06-2020 23:59:59;10;true
; ANA0123 ;03-06-2020 23:59:59;10;true
; ANA0124 ;03-06-2020 23:59:59;10;true
; ANA0125 ;03-06-2020 23:59:59;10;true
; ANA0126 ;03-06-2020 23:59:59;10;true
; ANA0127 ;03-06-2020 23:59:59;10;true
; ANA0128 ;03-06-2020 23:59:59;10;true
; ANA0129 ;03-06-2020 23:59:59;10;true
; ANA0130 ;03-06-2020 23:59:59;10;true
; ANA0131 ;03-06-2020 23:59:59;10;true
; ANA0132 ;03-06-2020 23:59:59;10;true
; ANA0133 ;03-06-2020 23:59:59;10;true
; ANA0134 ;03-06-2020 23:59:59;10;true
; ANA0135 ;03-06-2020 23:59:59;10;true
; ANA0136 ;03-06-2020 23:59:59;10;true
; ANA0137 ;03-06-2020 23:59:59;10;true
; ANA0138 ;03-06-2020 23:59:59;10;true
; ANA0139 ;03-06-2020 23:59:59;10;true
; ANA0140 ;03-06-2020 23:59:59;10;true
; ANA0141 ;03-06-2020 23:59:59;10;true
; ANA0142 ;03-06-2020 23:59:59;10;true
; ANA0143 ;03-06-2020 23:59:59;10;true
; ANA0144 ;03-06-2020 23:59:59;10;true
; ANA0145 ;03-06-2020 23:59:59;10;true
; ANA0146 ;03-06-2020 23:59:59;10;true
; ANA0147 ;03-06-2020 23:59:59;10;true
; ANA0149 ;03-06-2020 23:59:59;10;true
; ANA0150 ;03-06-2020 23:59:59;10;true
; ANA0151 ;03-06-2020 23:59:59;10;true
; ANA0152 ;03-06-2020 23:59:59;10;true
; ANA0153 ;03-06-2020 23:59:59;10;true
; ANA0154 ;03-06-2020 23:59:59;10;true
; ANA0155 ;03-06-2020 23:59:59;10;true
; ANA0156 ;03-06-2020 23:59:59;10;true
; ANA0157 ;03-06-2020 23:59:59;10;true
; ANA0158 ;03-06-2020 23:59:59;10;true
; ANA0159 ;03-06-2020 23:59:59;10;true
; ANA0160 ;03-06-2020 23:59:59;10;true
; ANA0161 ;03-06-2020 23:59:59;10;true
; ANA0162 ;03-06-2020 23:59:59;10;true
; ANA0163 ;03-06-2020 23:59:59;10;true
; ANA0164 ;03-06-2020 23:59:59;10;true
; ANA0165 ;03-06-2020 23:59:59;10;true
; ANA0166 ;03-06-2020 23:59:59;10;true
; ANA0167 ;03-06-2020 23:59:59;10;true
; ANA0168 ;03-06-2020 23:59:59;10;true
; ANA0169 ;03-06-2020 23:59:59;10;true
; ANA0170 ;03-06-2020 23:59:59;10;true
; ANA0171 ;03-06-2020 23:59:59;10;true
; ANA0173 ;03-06-2020 23:59:59;10;true
; ANA0174 ;03-06-2020 23:59:59;10;true
; ANA0175 ;03-06-2020 23:59:59;10;true
; ANA0178 ;03-06-2020 23:59:59;10;true
; ANA0179 ;03-06-2020 23:59:59;10;true
; ANA0180 ;03-06-2020 23:59:59;10;true
; ANA0181 ;03-06-2020 23:59:59;10;true
; ANA0182 ;03-06-2020 23:59:59;10;true
; ANA0183 ;03-06-2020 23:59:59;10;true
; ANA0184 ;03-06-2020 23:59:59;10;true
; ANA0185 ;03-06-2020 23:59:59;10;true
; ANA0186 ;03-06-2020 23:59:59;10;true
; ANA0187 ;03-06-2020 23:59:59;10;true
; ANA0188 ;03-06-2020 23:59:59;10;true
; ANA0189 ;03-06-2020 23:59:59;10;true
; ANA0190 ;03-06-2020 23:59:59;10;true
; ANA0191 ;03-06-2020 23:59:59;10;true
; ANA0192 ;03-06-2020 23:59:59;10;true
; ANA0193 ;03-06-2020 23:59:59;10;true
; ANA0194 ;03-06-2020 23:59:59;10;true
; ANA0195 ;03-06-2020 23:59:59;10;true
; ANA0196 ;03-06-2020 23:59:59;10;true
; ANA0197 ;03-06-2020 23:59:59;10;true
; ANA0198 ;03-06-2020 23:59:59;10;true
; ANA0199 ;03-06-2020 23:59:59;10;true
; ANA0200 ;03-06-2020 23:59:59;10;true
; ANA0201 ;03-06-2020 23:59:59;10;true
; ANA0202 ;03-06-2020 23:59:59;10;true
; ANA0203 ;03-06-2020 23:59:59;10;true
; ANA0204 ;03-06-2020 23:59:59;10;true
; ANA0205 ;03-06-2020 23:59:59;10;true
; ANA0206 ;03-06-2020 23:59:59;10;true
; ANA0207 ;03-06-2020 23:59:59;10;true
; ANA0208 ;03-06-2020 23:59:59;10;true
; ANA0209 ;03-06-2020 23:59:59;10;true
; ANA0210 ;03-06-2020 23:59:59;10;true
; ANA0211 ;03-06-2020 23:59:59;10;true
; ANA0212 ;03-06-2020 23:59:59;10;true
; ANA0214 ;03-06-2020 23:59:59;10;true
; ANA0215 ;03-06-2020 23:59:59;10;true
; ANA0216 ;03-06-2020 23:59:59;10;true
; ANA0217 ;03-06-2020 23:59:59;10;true
; ANA0218 ;03-06-2020 23:59:59;10;true
; ANA0219 ;03-06-2020 23:59:59;10;true
; ANA0220 ;03-06-2020 23:59:59;10;true
; ANA0221 ;03-06-2020 23:59:59;10;true
; ANA0222 ;03-06-2020 23:59:59;10;true
; ANA0223 ;03-06-2020 23:59:59;10;true
; ANA0224 ;03-06-2020 23:59:59;10;true
; ANA0225 ;03-06-2020 23:59:59;10;true
; ANA0227 ;03-06-2020 23:59:59;10;true
; ANA0228 ;03-06-2020 23:59:59;10;true
; ANA0229 ;03-06-2020 23:59:59;10;true
; ANA0230 ;03-06-2020 23:59:59;10;true
; ANA0231 ;03-06-2020 23:59:59;10;true
; ANA0232 ;03-06-2020 23:59:59;10;true
; ANA0233 ;03-06-2020 23:59:59;10;true
; ANA0234 ;03-06-2020 23:59:59;10;true
; ANA0235 ;03-06-2020 23:59:59;10;true
; ANA0236 ;03-06-2020 23:59:59;10;true
; ANA0237 ;03-06-2020 23:59:59;10;true
; ANA0238 ;03-06-2020 23:59:59;10;true
; ANA0239 ;03-06-2020 23:59:59;10;true
; ANA0240 ;03-06-2020 23:59:59;10;true
; ANA0241 ;03-06-2020 23:59:59;10;true
; ANA0242 ;03-06-2020 23:59:59;10;true
; ANA0243 ;03-06-2020 23:59:59;10;true
; ANA0244 ;03-06-2020 23:59:59;10;true
