UPDATE SingleCodeCoupon;couponId[unique=true];endDate[dateformat=dd-MM-yyyy HH:mm:ss];maxRedemptionsPerCustomer;active[default=true]
; A0000 ;03-06-2020 23:59:59;10;true
; A0001 ;03-06-2020 23:59:59;10;true
; A0002 ;03-06-2020 23:59:59;10;true
; A0003 ;03-06-2020 23:59:59;10;true
; A0004 ;03-06-2020 23:59:59;10;true
; A0005 ;03-06-2020 23:59:59;10;true
; A0006 ;03-06-2020 23:59:59;10;true
; A0007 ;03-06-2020 23:59:59;10;true
; A0008 ;03-06-2020 23:59:59;10;true
; A0009 ;03-06-2020 23:59:59;10;true
; A0010 ;03-06-2020 23:59:59;10;true
; A0011 ;03-06-2020 23:59:59;10;true
; A0012 ;03-06-2020 23:59:59;10;true
; A0013 ;03-06-2020 23:59:59;10;true
; A0014 ;03-06-2020 23:59:59;10;true
; A0015 ;03-06-2020 23:59:59;10;true
; A0016 ;03-06-2020 23:59:59;10;true
; A0017 ;03-06-2020 23:59:59;10;true
; A0018 ;03-06-2020 23:59:59;10;true
; A0019 ;03-06-2020 23:59:59;10;true
; A0020 ;03-06-2020 23:59:59;10;true
; A0021 ;03-06-2020 23:59:59;10;true
; A0022 ;03-06-2020 23:59:59;10;true
; A0023 ;03-06-2020 23:59:59;10;true
; A0024 ;03-06-2020 23:59:59;10;true
; A0025 ;03-06-2020 23:59:59;10;true
; A0026 ;03-06-2020 23:59:59;10;true
; A0027 ;03-06-2020 23:59:59;10;true
; A0028 ;03-06-2020 23:59:59;10;true
; A0029 ;03-06-2020 23:59:59;10;true
; A0030 ;03-06-2020 23:59:59;10;true
; A0031 ;03-06-2020 23:59:59;10;true
; A0032 ;03-06-2020 23:59:59;10;true
; A0033 ;03-06-2020 23:59:59;10;true
; A0034 ;03-06-2020 23:59:59;10;true
; A0035 ;03-06-2020 23:59:59;10;true
; A0036 ;03-06-2020 23:59:59;10;true
; A0037 ;03-06-2020 23:59:59;10;true
; A0038 ;03-06-2020 23:59:59;10;true
; A0039 ;03-06-2020 23:59:59;10;true
; A0040 ;03-06-2020 23:59:59;10;true
; A0041 ;03-06-2020 23:59:59;10;true
; A0042 ;03-06-2020 23:59:59;10;true
; A0043 ;03-06-2020 23:59:59;10;true
; A0044 ;03-06-2020 23:59:59;10;true
; A0045 ;03-06-2020 23:59:59;10;true
; A0046 ;03-06-2020 23:59:59;10;true
; A0047 ;03-06-2020 23:59:59;10;true
; A0048 ;03-06-2020 23:59:59;10;true
; A0049 ;03-06-2020 23:59:59;10;true
; A0050 ;03-06-2020 23:59:59;10;true
; A0051 ;03-06-2020 23:59:59;10;true
; A0052 ;03-06-2020 23:59:59;10;true
; A0053 ;03-06-2020 23:59:59;10;true
; A0054 ;03-06-2020 23:59:59;10;true
; A0055 ;03-06-2020 23:59:59;10;true
; A0056 ;03-06-2020 23:59:59;10;true
; A0057 ;03-06-2020 23:59:59;10;true
; A0058 ;03-06-2020 23:59:59;10;true
; A0059 ;03-06-2020 23:59:59;10;true
; A0060 ;03-06-2020 23:59:59;10;true
; A0061 ;03-06-2020 23:59:59;10;true
; A0062 ;03-06-2020 23:59:59;10;true
; A0063 ;03-06-2020 23:59:59;10;true
; A0064 ;03-06-2020 23:59:59;10;true
; A0065 ;03-06-2020 23:59:59;10;true
; A0066 ;03-06-2020 23:59:59;10;true
; A0067 ;03-06-2020 23:59:59;10;true
; A0068 ;03-06-2020 23:59:59;10;true
; A0069 ;03-06-2020 23:59:59;10;true
