UPDATE SingleCodeCoupon;couponId[unique=true];endDate[dateformat=dd-MM-yyyy HH:mm:ss];maxRedemptionsPerCustomer;active[default=true]
; VM1000042-1 ;03-06-2020 23:59:59;10;true
; VM1000042-2 ;03-06-2020 23:59:59;10;true
; VM1000042-3 ;03-06-2020 23:59:59;10;true
; VM1000042-4 ;03-06-2020 23:59:59;10;true
; VM1000042-5 ;03-06-2020 23:59:59;10;true
; VM1000043-1 ;03-06-2020 23:59:59;10;true
; VM1000043-2 ;03-06-2020 23:59:59;10;true
; VM1000043-3 ;03-06-2020 23:59:59;10;true
; VM1000043-4 ;03-06-2020 23:59:59;10;true
; VM1000043-5 ;03-06-2020 23:59:59;10;true
; VM1000044-1 ;03-06-2020 23:59:59;10;true
; VM1000044-2 ;03-06-2020 23:59:59;10;true
; VM1000044-3 ;03-06-2020 23:59:59;10;true
; VM1000044-4 ;03-06-2020 23:59:59;10;true
; VM1000044-5 ;03-06-2020 23:59:59;10;true
; VM1000045-1 ;03-06-2020 23:59:59;10;true
; VM1000045-2 ;03-06-2020 23:59:59;10;true
; VM1000045-3 ;03-06-2020 23:59:59;10;true
; VM1000045-4 ;03-06-2020 23:59:59;10;true
; VM1000045-5 ;03-06-2020 23:59:59;10;true
; VM1000048-1 ;03-06-2020 23:59:59;10;true
; VM1000048-2 ;03-06-2020 23:59:59;10;true
; VM1000048-3 ;03-06-2020 23:59:59;10;true
; VM1000048-4 ;03-06-2020 23:59:59;10;true
; VM1000048-5 ;03-06-2020 23:59:59;10;true
; VM1000049-1 ;03-06-2020 23:59:59;10;true
; VM1000049-2 ;03-06-2020 23:59:59;10;true
; VM1000049-3 ;03-06-2020 23:59:59;10;true
; VM1000049-4 ;03-06-2020 23:59:59;10;true
; VM1000049-5 ;03-06-2020 23:59:59;10;true
; VM1000051-1 ;03-06-2020 23:59:59;10;true
; VM1000051-2 ;03-06-2020 23:59:59;10;true
; VM1000051-3 ;03-06-2020 23:59:59;10;true
; VM1000051-4 ;03-06-2020 23:59:59;10;true
; VM1000051-5 ;03-06-2020 23:59:59;10;true
; VM1000052-1 ;03-06-2020 23:59:59;10;true
; VM1000052-2 ;03-06-2020 23:59:59;10;true
; VM1000052-3 ;03-06-2020 23:59:59;10;true
; VM1000052-4 ;03-06-2020 23:59:59;10;true
; VM1000052-5 ;03-06-2020 23:59:59;10;true
; VM1000055-1 ;03-06-2020 23:59:59;10;true
; VM1000055-2 ;03-06-2020 23:59:59;10;true
; VM1000055-3 ;03-06-2020 23:59:59;10;true
; VM1000055-4 ;03-06-2020 23:59:59;10;true
; VM1000055-5 ;03-06-2020 23:59:59;10;true
; VM1000065-1 ;03-06-2020 23:59:59;10;true
; VM1000065-2 ;03-06-2020 23:59:59;10;true
; VM1000065-3 ;03-06-2020 23:59:59;10;true
; VM1000065-4 ;03-06-2020 23:59:59;10;true
; VM1000065-5 ;03-06-2020 23:59:59;10;true
; VM1000070-1 ;03-06-2020 23:59:59;10;true
; VM1000070-2 ;03-06-2020 23:59:59;10;true
; VM1000070-3 ;03-06-2020 23:59:59;10;true
; VM1000070-4 ;03-06-2020 23:59:59;10;true
; VM1000070-5 ;03-06-2020 23:59:59;10;true
; VM10016-1 ;03-06-2020 23:59:59;10;true
; VM10016-2 ;03-06-2020 23:59:59;10;true
; VM10016-3 ;03-06-2020 23:59:59;10;true
; VM10016-4 ;03-06-2020 23:59:59;10;true
