UPDATE SingleCodeCoupon;couponId[unique=true];endDate[dateformat=dd-MM-yyyy HH:mm:ss];maxRedemptionsPerCustomer;active[default=true]
; SCH0007 ;03-06-2020 23:59:59;10;true
; SCH0008 ;03-06-2020 23:59:59;10;true
; SCH0009 ;03-06-2020 23:59:59;10;true
; SCH0010 ;03-06-2020 23:59:59;10;true
; SCH0011 ;03-06-2020 23:59:59;10;true
; SCH0012 ;03-06-2020 23:59:59;10;true
; SCH0013 ;03-06-2020 23:59:59;10;true
; SCH0014 ;03-06-2020 23:59:59;10;true
; SCH0015 ;03-06-2020 23:59:59;10;true
; SCH0016 ;03-06-2020 23:59:59;10;true
; SCH0017 ;03-06-2020 23:59:59;10;true
; SCH0018 ;03-06-2020 23:59:59;10;true
; SCH0019 ;03-06-2020 23:59:59;10;true
; SCH0020 ;03-06-2020 23:59:59;10;true
; SCH0021 ;03-06-2020 23:59:59;10;true
; SCH0022 ;03-06-2020 23:59:59;10;true
; SCH0023 ;03-06-2020 23:59:59;10;true
; SCH0024 ;03-06-2020 23:59:59;10;true
; SCH0025 ;03-06-2020 23:59:59;10;true
; SCH0026 ;03-06-2020 23:59:59;10;true
; SCH0027 ;03-06-2020 23:59:59;10;true
; SCH0028 ;03-06-2020 23:59:59;10;true
; SCH0029 ;03-06-2020 23:59:59;10;true
; SCH0030 ;03-06-2020 23:59:59;10;true
; SCH0031 ;03-06-2020 23:59:59;10;true
; SCH0032 ;03-06-2020 23:59:59;10;true
; SCH0033 ;03-06-2020 23:59:59;10;true
; SCH0034 ;03-06-2020 23:59:59;10;true
; SCH0035 ;03-06-2020 23:59:59;10;true
; SCH0036 ;03-06-2020 23:59:59;10;true
; SCH0037 ;03-06-2020 23:59:59;10;true
; SCH0038 ;03-06-2020 23:59:59;10;true
; SCH0039 ;03-06-2020 23:59:59;10;true
; SCH0040 ;03-06-2020 23:59:59;10;true
; SCH0041 ;03-06-2020 23:59:59;10;true
; SCH0042 ;03-06-2020 23:59:59;10;true
; SCH0043 ;03-06-2020 23:59:59;10;true
; SCH0044 ;03-06-2020 23:59:59;10;true
; SCH0045 ;03-06-2020 23:59:59;10;true
; SCH0046 ;03-06-2020 23:59:59;10;true
; SCH0047 ;03-06-2020 23:59:59;10;true
; SCH0048 ;03-06-2020 23:59:59;10;true
; SCH0049 ;03-06-2020 23:59:59;10;true
; SCH0050 ;03-06-2020 23:59:59;10;true
; SCH0051 ;03-06-2020 23:59:59;10;true
; SCH0052 ;03-06-2020 23:59:59;10;true
; SCH0053 ;03-06-2020 23:59:59;10;true
; SCH0054 ;03-06-2020 23:59:59;10;true
; SCH0055 ;03-06-2020 23:59:59;10;true
; SCH0056 ;03-06-2020 23:59:59;10;true
; SCH0057 ;03-06-2020 23:59:59;10;true
; SCH0058 ;03-06-2020 23:59:59;10;true
; SCH0059 ;03-06-2020 23:59:59;10;true
; SCH0060 ;03-06-2020 23:59:59;10;true
; SCH0061 ;03-06-2020 23:59:59;10;true
; SCH0062 ;03-06-2020 23:59:59;10;true
; SCH0063 ;03-06-2020 23:59:59;10;true
; SCH0064 ;03-06-2020 23:59:59;10;true
; SCH0065 ;03-06-2020 23:59:59;10;true
; SCH0066 ;03-06-2020 23:59:59;10;true
; SCH0067 ;03-06-2020 23:59:59;10;true
; SCH0068 ;03-06-2020 23:59:59;10;true
; SCH0069 ;03-06-2020 23:59:59;10;true
