UPDATE SingleCodeCoupon;couponId[unique=true];endDate[dateformat=dd-MM-yyyy HH:mm:ss];maxRedemptionsPerCustomer;active[default=true]
;JUNTOS0001;03-06-2020 23:59:59;10;true
;JUNTOS0002;03-06-2020 23:59:59;10;true
;JUNTOS0003;03-06-2020 23:59:59;10;true
;JUNTOS0004;03-06-2020 23:59:59;10;true
;JUNTOS0005;03-06-2020 23:59:59;10;true
;JUNTOS0006;03-06-2020 23:59:59;10;true
;JUNTOS0007;03-06-2020 23:59:59;10;true
;JUNTOS0008;03-06-2020 23:59:59;10;true
;JUNTOS0009;03-06-2020 23:59:59;10;true
;JUNTOS0010;03-06-2020 23:59:59;10;true
;JUNTOS0011;03-06-2020 23:59:59;10;true
;JUNTOS0012;03-06-2020 23:59:59;10;true
;JUNTOS0013;03-06-2020 23:59:59;10;true
;JUNTOS0014;03-06-2020 23:59:59;10;true
;JUNTOS0015;03-06-2020 23:59:59;10;true
;JUNTOS0016;03-06-2020 23:59:59;10;true
;JUNTOS0017;03-06-2020 23:59:59;10;true
;JUNTOS0018;03-06-2020 23:59:59;10;true
;JUNTOS0019;03-06-2020 23:59:59;10;true
;JUNTOS0020;03-06-2020 23:59:59;10;true
;JUNTOS0021;03-06-2020 23:59:59;10;true
;JUNTOS0022;03-06-2020 23:59:59;10;true
;JUNTOS0023;03-06-2020 23:59:59;10;true
;JUNTOS0024;03-06-2020 23:59:59;10;true
;JUNTOS0025;03-06-2020 23:59:59;10;true
;JUNTOS0026;03-06-2020 23:59:59;10;true
;JUNTOS0027;03-06-2020 23:59:59;10;true
;JUNTOS0028;03-06-2020 23:59:59;10;true
;JUNTOS0029;03-06-2020 23:59:59;10;true
;JUNTOS0030;03-06-2020 23:59:59;10;true
;JUNTOS0031;03-06-2020 23:59:59;10;true
;JUNTOS0032;03-06-2020 23:59:59;10;true
;JUNTOS0033;03-06-2020 23:59:59;10;true
;JUNTOS0034;03-06-2020 23:59:59;10;true
;JUNTOS0035;03-06-2020 23:59:59;10;true
;JUNTOS0036;03-06-2020 23:59:59;10;true
;JUNTOS0037;03-06-2020 23:59:59;10;true
;JUNTOS0038;03-06-2020 23:59:59;10;true
;JUNTOS0039;03-06-2020 23:59:59;10;true
;JUNTOS0040;03-06-2020 23:59:59;10;true
;JUNTOS0041;03-06-2020 23:59:59;10;true
;JUNTOS0042;03-06-2020 23:59:59;10;true
;JUNTOS0043;03-06-2020 23:59:59;10;true
;JUNTOS0044;03-06-2020 23:59:59;10;true
;JUNTOS0045;03-06-2020 23:59:59;10;true
;JUNTOS0046;03-06-2020 23:59:59;10;true
;JUNTOS0047;03-06-2020 23:59:59;10;true
;JUNTOS0048;03-06-2020 23:59:59;10;true
;JUNTOS0049;03-06-2020 23:59:59;10;true
;JUNTOS0050;03-06-2020 23:59:59;10;true
;JUNTOS0051;03-06-2020 23:59:59;10;true
;JUNTOS0052;03-06-2020 23:59:59;10;true
;JUNTOS0053;03-06-2020 23:59:59;10;true
;JUNTOS0054;03-06-2020 23:59:59;10;true
;JUNTOS0055;03-06-2020 23:59:59;10;true
;JUNTOS0056;03-06-2020 23:59:59;10;true
;JUNTOS0057;03-06-2020 23:59:59;10;true
;JUNTOS0058;03-06-2020 23:59:59;10;true
;JUNTOS0059;03-06-2020 23:59:59;10;true
;JUNTOS0060;03-06-2020 23:59:59;10;true
;JUNTOS0061;03-06-2020 23:59:59;10;true
;JUNTOS0062;03-06-2020 23:59:59;10;true
;JUNTOS0063;03-06-2020 23:59:59;10;true
;JUNTOS0064;03-06-2020 23:59:59;10;true
;JUNTOS0065;03-06-2020 23:59:59;10;true
;JUNTOS0066;03-06-2020 23:59:59;10;true
;JUNTOS0067;03-06-2020 23:59:59;10;true
;JUNTOS0068;03-06-2020 23:59:59;10;true
;JUNTOS0069;03-06-2020 23:59:59;10;true
;JUNTOS0070;03-06-2020 23:59:59;10;true
;JUNTOS0071;03-06-2020 23:59:59;10;true
;JUNTOS0072;03-06-2020 23:59:59;10;true
;JUNTOS0073;03-06-2020 23:59:59;10;true
;JUNTOS0074;03-06-2020 23:59:59;10;true
;JUNTOS0075;03-06-2020 23:59:59;10;true
;JUNTOS0076;03-06-2020 23:59:59;10;true
;JUNTOS0077;03-06-2020 23:59:59;10;true
;JUNTOS0078;03-06-2020 23:59:59;10;true
;JUNTOS0079;03-06-2020 23:59:59;10;true
;JUNTOS0080;03-06-2020 23:59:59;10;true
;JUNTOS0081;03-06-2020 23:59:59;10;true
;JUNTOS0082;03-06-2020 23:59:59;10;true
;JUNTOS0083;03-06-2020 23:59:59;10;true
;JUNTOS0084;03-06-2020 23:59:59;10;true
;JUNTOS0085;03-06-2020 23:59:59;10;true
;JUNTOS0086;03-06-2020 23:59:59;10;true
;JUNTOS0087;03-06-2020 23:59:59;10;true
;JUNTOS0088;03-06-2020 23:59:59;10;true
;JUNTOS0089;03-06-2020 23:59:59;10;true
;JUNTOS0090;03-06-2020 23:59:59;10;true
;JUNTOS0091;03-06-2020 23:59:59;10;true
;JUNTOS0092;03-06-2020 23:59:59;10;true
;JUNTOS0093;03-06-2020 23:59:59;10;true
;JUNTOS0094;03-06-2020 23:59:59;10;true
;JUNTOS0095;03-06-2020 23:59:59;10;true
;JUNTOS0096;03-06-2020 23:59:59;10;true
;JUNTOS0097;03-06-2020 23:59:59;10;true
;JUNTOS0098;03-06-2020 23:59:59;10;true
;JUNTOS0099;03-06-2020 23:59:59;10;true
;JUNTOS0100;03-06-2020 23:59:59;10;true
;JUNTOS0101;03-06-2020 23:59:59;10;true
;JUNTOS0102;03-06-2020 23:59:59;10;true
;JUNTOS0103;03-06-2020 23:59:59;10;true
;JUNTOS0104;03-06-2020 23:59:59;10;true
;JUNTOS0105;03-06-2020 23:59:59;10;true
;JUNTOS0106;03-06-2020 23:59:59;10;true
;JUNTOS0107;03-06-2020 23:59:59;10;true
;JUNTOS0108;03-06-2020 23:59:59;10;true
;JUNTOS0109;03-06-2020 23:59:59;10;true
;JUNTOS0110;03-06-2020 23:59:59;10;true
;JUNTOS0111;03-06-2020 23:59:59;10;true
;JUNTOS0112;03-06-2020 23:59:59;10;true
;JUNTOS0113;03-06-2020 23:59:59;10;true
;JUNTOS0114;03-06-2020 23:59:59;10;true
;JUNTOS0115;03-06-2020 23:59:59;10;true
;JUNTOS0116;03-06-2020 23:59:59;10;true
;JUNTOS0117;03-06-2020 23:59:59;10;true
;JUNTOS0118;03-06-2020 23:59:59;10;true
;JUNTOS0119;03-06-2020 23:59:59;10;true
;JUNTOS0120;03-06-2020 23:59:59;10;true
;JUNTOS0121;03-06-2020 23:59:59;10;true
;JUNTOS0122;03-06-2020 23:59:59;10;true
;JUNTOS0123;03-06-2020 23:59:59;10;true
;JUNTOS0124;03-06-2020 23:59:59;10;true
;JUNTOS0125;03-06-2020 23:59:59;10;true
;JUNTOS0126;03-06-2020 23:59:59;10;true
;JUNTOS0127;03-06-2020 23:59:59;10;true
;JUNTOS0128;03-06-2020 23:59:59;10;true
;JUNTOS0129;03-06-2020 23:59:59;10;true
;JUNTOS0130;03-06-2020 23:59:59;10;true
;JUNTOS0131;03-06-2020 23:59:59;10;true
;JUNTOS0132;03-06-2020 23:59:59;10;true
;JUNTOS0133;03-06-2020 23:59:59;10;true
;JUNTOS0134;03-06-2020 23:59:59;10;true
;JUNTOS0135;03-06-2020 23:59:59;10;true
;JUNTOS0136;03-06-2020 23:59:59;10;true
;JUNTOS0137;03-06-2020 23:59:59;10;true
;JUNTOS0138;03-06-2020 23:59:59;10;true
;JUNTOS0139;03-06-2020 23:59:59;10;true
;JUNTOS0140;03-06-2020 23:59:59;10;true
;JUNTOS0141;03-06-2020 23:59:59;10;true
;JUNTOS0142;03-06-2020 23:59:59;10;true
;JUNTOS0143;03-06-2020 23:59:59;10;true
;JUNTOS0144;03-06-2020 23:59:59;10;true
;JUNTOS0145;03-06-2020 23:59:59;10;true
;JUNTOS0146;03-06-2020 23:59:59;10;true
;JUNTOS0147;03-06-2020 23:59:59;10;true
;JUNTOS0148;03-06-2020 23:59:59;10;true
;JUNTOS0149;03-06-2020 23:59:59;10;true
;JUNTOS0150;03-06-2020 23:59:59;10;true
;JUNTOS0151;03-06-2020 23:59:59;10;true
;JUNTOS0152;03-06-2020 23:59:59;10;true
;JUNTOS0153;03-06-2020 23:59:59;10;true
;JUNTOS0154;03-06-2020 23:59:59;10;true
;JUNTOS0155;03-06-2020 23:59:59;10;true
;JUNTOS0156;03-06-2020 23:59:59;10;true
;JUNTOS0157;03-06-2020 23:59:59;10;true
;JUNTOS0158;03-06-2020 23:59:59;10;true
;JUNTOS0159;03-06-2020 23:59:59;10;true
;JUNTOS0160;03-06-2020 23:59:59;10;true
;JUNTOS0161;03-06-2020 23:59:59;10;true
;JUNTOS0162;03-06-2020 23:59:59;10;true
;JUNTOS0163;03-06-2020 23:59:59;10;true
;JUNTOS0164;03-06-2020 23:59:59;10;true
;JUNTOS0165;03-06-2020 23:59:59;10;true
;JUNTOS0166;03-06-2020 23:59:59;10;true
;JUNTOS0167;03-06-2020 23:59:59;10;true
;JUNTOS0168;03-06-2020 23:59:59;10;true
;JUNTOS0169;03-06-2020 23:59:59;10;true
;JUNTOS0170;03-06-2020 23:59:59;10;true
;JUNTOS0171;03-06-2020 23:59:59;10;true
;JUNTOS0172;03-06-2020 23:59:59;10;true
;JUNTOS0173;03-06-2020 23:59:59;10;true
;JUNTOS0174;03-06-2020 23:59:59;10;true
;JUNTOS0175;03-06-2020 23:59:59;10;true
;JUNTOS0176;03-06-2020 23:59:59;10;true
;JUNTOS0177;03-06-2020 23:59:59;10;true
;JUNTOS0178;03-06-2020 23:59:59;10;true
;JUNTOS0179;03-06-2020 23:59:59;10;true
;JUNTOS0180;03-06-2020 23:59:59;10;true
;JUNTOS0181;03-06-2020 23:59:59;10;true
;JUNTOS0182;03-06-2020 23:59:59;10;true
;JUNTOS0183;03-06-2020 23:59:59;10;true
;JUNTOS0184;03-06-2020 23:59:59;10;true
;JUNTOS0185;03-06-2020 23:59:59;10;true
;JUNTOS0186;03-06-2020 23:59:59;10;true
;JUNTOS0187;03-06-2020 23:59:59;10;true
;JUNTOS0188;03-06-2020 23:59:59;10;true
;JUNTOS0189;03-06-2020 23:59:59;10;true
;JUNTOS0190;03-06-2020 23:59:59;10;true
;JUNTOS0191;03-06-2020 23:59:59;10;true
;JUNTOS0192;03-06-2020 23:59:59;10;true
;JUNTOS0193;03-06-2020 23:59:59;10;true
;JUNTOS0194;03-06-2020 23:59:59;10;true
;JUNTOS0195;03-06-2020 23:59:59;10;true
;JUNTOS0196;03-06-2020 23:59:59;10;true
;JUNTOS0197;03-06-2020 23:59:59;10;true
;JUNTOS0198;03-06-2020 23:59:59;10;true
;JUNTOS0199;03-06-2020 23:59:59;10;true
;JUNTOS0200;03-06-2020 23:59:59;10;true
;JUNTOS0201;03-06-2020 23:59:59;10;true
;JUNTOS0202;03-06-2020 23:59:59;10;true
;JUNTOS0203;03-06-2020 23:59:59;10;true
;JUNTOS0204;03-06-2020 23:59:59;10;true
;JUNTOS0205;03-06-2020 23:59:59;10;true
;JUNTOS0206;03-06-2020 23:59:59;10;true
;JUNTOS0207;03-06-2020 23:59:59;10;true
