UPDATE SingleCodeCoupon;couponId[unique=true];name[lang=pt];startDate[dateformat=dd-MM-yyyy HH:mm:ss];endDate[dateformat=dd-MM-yyyy HH:mm:ss];maxRedemptionsPerCustomer;maxTotalRedemptions;active[default=true]
;ANIVER1;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER2;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER3;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER4;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER5;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER6;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER7;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER8;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER9;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER10;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER11;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER12;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER13;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER14;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER15;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER16;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER17;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER18;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER19;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER20;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER21;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER22;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER23;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER24;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER25;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER26;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER27;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER28;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER29;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER30;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER31;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER32;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER33;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER34;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
